11188
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Douzième extrait>,<>,<>
je,je,51
n',ne,60
espérais,espérer,18
plus,plus,60
le,le,71
pardon,pardon,21
",",",",p
il,il,51
ne,ne,60
me,je,51
restait,rester,18
qu',que,83
à,à,81
me,je,51
jeter,jeter,14
dans,dans,81
les,le,71
enivrements,enivrement,21
vulgaires,vulgaire,30
;,;,p
j',je,51
affectai,affecter,19
la,le,71
joie,joie,22
et,et,82
l',le,71
insouciance,insouciance,22
",",",",p
je,je,51
courus,courir,19
le,le,71
monde,monde,21
",",",",p
follement,follement,60
épris,épris,31
de,de,81
la,le,71
variété,variété,22
et,et,82
du,de,81
du,le,71
caprice,caprice,21
;,;,p
j',je,51
aimais,aimer,18
surtout,surtout,60
les,le,71
costumes,costume,21
et,et,82
les,le,71
moeurs,moeurs,22
bizarres,bizarre,30
des,de,81
des,le,71
populations,population,22
lointaines,lointain,30
",",",",p
il,il,51
me,je,51
semblait,sembler,18
que,que,83
je,je,51
déplaçais,déplacer,18
ainsi,ainsi,60
les,le,71
conditions,condition,22
du,de,81
du,le,71
bien,bien,21
et,et,82
du,de,81
du,le,71
mal,mal,21
;,;,p
les,le,71
termes,terme,21
",",",",p
pour,pour,81
ainsi,ainsi,60
dire,dire,14
",",",",p
de,de,81
ce,ce,52
qui,qui,52
est,être,17
sentiment,sentiment,21
pour,pour,81
nous autres,nous autre,51
Français,Français,20
/.,/.,P
“,“,p
quelle,quel,75
folie,folie,22
",",",",p
me,je,51
disais,dire,18
je,je,51
",",",",p
d',de,81
aimer,aimer,14
ainsi,ainsi,60
d',de,81
un,un,71
amour,amour,21
platonique,platonique,30
une,un,71
femme,femme,22
qui,qui,52
ne,ne,60
vous,vous,51
aime,aimer,17
plus,plus,60
/.,/.,P
ceci,ceci,52
est,être,17
la,le,71
faute,faute,22
de,de,81
mes,mon,73
lectures,lecture,22
;,;,p
j',je,51
ai,avoir,17
pris,prendre,12
au,à,81
au,le,71
sérieux,sérieux,21
les,le,71
inventions,invention,22
des,de,81
des,le,71
poètes,poète,21
",",",",p
et,et,82
je,je,51
me,je,51
suis,être,17
fait,faire,12
une,un,71
Laure,Laure,20
ou,ou,82
une,un,71
Béatrix,Béatrix,20
d',de,81
une,un,71
personne,personne,22
ordinaire,ordinaire,30
de,de,81
notre,notre,73
siècle,siècle,21
",",",",p
passons,passer,17
à,à,81
d',de,81
autres,autre,75
intrigues,intrigue,22
",",",",p
et,et,82
celle-là,celui-là,52
sera,être,15
vite,vite,60
oubliée,oublier,12
/.,/.,P
“,“,p
l',le,71
étourdissement,étourdissement,21
d',de,81
un,un,71
joyeux,joyeux,30
carnaval,carnaval,21
dans,dans,81
une,un,71
ville,ville,22
d',de,81
Italie,Italie,20
chassa,chasser,19
toutes,tout,75
mes,mon,73
idées,idée,22
mélancoliques,mélancolique,30
/.,/.,P
j',je,51
étais,être,18
si,si,60
heureux,heureux,30
du,de,81
du,le,71
soulagement,soulagement,21
que,que,52
j',je,51
éprouvais,éprouver,18
",",",",p
que,que,83
je,je,51
faisais,faire,18
part,part,22
de,de,81
ma,mon,73
joie,joie,22
à,à,81
tous,tout,75
mes,mon,73
amis,ami,21
",",",",p
et,et,82
",",",",p
dans,dans,81
mes,mon,73
lettres,lettre,22
",",",",p
je,je,51
leur,leur,52
donnais,donner,18
pour,pour,81
l',le,71
état,état,21
constant,constant,30
de,de,81
mon,mon,73
esprit,esprit,21
ce,ce,52
qui,qui,52
n',ne,60
était,être,18
que,que,83
surexcitation,surexcitation,22
fiévreuse,fiévreux,30
/.,/.,P
un,un,71
jour,jour,21
",",",",p
arriva,arriver,19
dans,dans,81
la,le,71
ville,ville,22
une,un,71
femme,femme,22
d',de,81
une,un,71
grande,grand,30
renommée,renommée,22
qui,qui,52
me,je,51
prit,prendre,19
en,en,81
amitié,amitié,22
et,et,82
qui,qui,52
",",",",p
habituée,habitué,31
à,à,81
plaire,plaire,14
et,et,82
à,à,81
éblouir,éblouir,14
",",",",p
m',je,51
entraîna,entraîner,19
sans,sans,81
peine,peine,22
dans,dans,81
le,le,71
cercle,cercle,21
de,de,81
ses,son,73
admirateurs,admirateur,21
/.,/.,P
après,après,81
une,un,71
soirée,soirée,22
où,où,60
elle,il,51
avait,avoir,18
été,être,12
à,à,81
la,le,71
fois,fois,22
naturelle,naturel,30
et,et,82
pleine,plein,30
de,de,81
charme,charme,21
dont,dont,52
tous,tout,52
éprouvaient,éprouver,18
l',le,71
atteinte,atteinte,22
",",",",p
je,je,51
me,je,51
sentis,sentir,19
épris,épris,31
d',de,81
elle,il,51
à,à,81
ce,ce,74
point,point,21
que,que,83
je,je,51
ne,ne,60
voulus,vouloir,19
pas,pas,60
tarder,tarder,14
un,un,71
instant,instant,21
à,à,81
lui,lui,51
écrire,écrire,14
/.,/.,P
j',je,51
étais,être,18
si,si,60
heureux,heureux,30
de,de,81
sentir,sentir,14
mon,mon,73
coeur,coeur,21
d',de,81
un,un,71
amour,amour,21
véritable,véritable,30
et,et,82
longtemps,longtemps,60
éprouvé,éprouvé,31
/.,/.,P
la,le,71
lettre,lettre,22
partie,parti,31
",",",",p
j',je,51
aurais,avoir,16
voulu,vouloir,12
la,le,52
retenir,retenir,14
",",",",p
et,et,82
j',je,51
allai,aller,18
rêver,rêver,14
dans,dans,81
la,le,71
solitude,solitude,22
à,à,81
ce,ce,52
qui,qui,52
me,je,51
semblait,sembler,18
une,un,71
profanation,profanation,22
de,de,81
mes,mon,73
souvenirs,souvenir,21
/.,/.,P
le,le,71
soir,soir,21
rendit,rendre,19
à,à,81
mon,mon,73
nouvel,nouveau,30
amour,amour,21
tout,tout,75
le,le,71
prestige,prestige,21
de,de,81
la,le,71
veille,veille,22
/.,/.,P
la,le,71
dame,dame,22
se,se,51
montra,montrer,19
sensible,sensible,30
à,à,81
ce,ce,52
que,que,52
je,je,51
lui,lui,51
avais,avoir,18
écrit,écrire,12
",",",",p
tout,tout,60
en,en,81
manifestant,manifester,13
quelque,quelque,75
étonnement,étonnement,21
de,de,81
ma,mon,73
ferveur,ferveur,22
soudaine,soudain,30
/.,/.,P
j',je,51
avais,avoir,18
franchi,franchir,12
",",",",p
en,en,81
un,un,71
jour,jour,21
",",",",p
plusieurs,plusieurs,75
degrés,degré,21
des,de,81
des,le,71
sentiments,sentiment,21
que,que,52
l',l',94
on,on,51
peut,pouvoir,17
concevoir,concevoir,14
pour,pour,81
une,un,71
femme,femme,22
avec,avec,81
apparence,apparence,22
de,de,81
sincérité,sincérité,22
/.,/.,P
elle,il,51
m',je,51
avoua,avouer,19
que,que,83
je,je,51
l',le,52
étonnais,étonner,18
en,en,81
la,le,52
rendant,rendre,13
fière,fier,30
/.,/.,P
j',je,51
essayai,essayer,19
de,de,81
la,le,52
convaincre,convaincre,14
;,;,p
mais,mais,82
quoi,quoi,52
que,que,52
je,je,51
voulusse,vouloir,18
lui,lui,51
dire,dire,14
",",",",p
je,je,51
ne,ne,60
pus,pouvoir,19
ensuite,ensuite,60
retrouver,retrouver,14
dans,dans,81
nos,notre,73
entretiens,entretien,21
le,le,71
diapason,diapason,21
de,de,81
mon,mon,73
style,style,21
",",",",p
de,de,81
sorte,sorte,22
que,que,83
je,je,51
fus,être,19
réduit,réduire,12
à,à,81
lui,lui,51
avouer,avouer,14
",",",",p
avec,avec,81
larmes,larme,22
",",",",p
que,que,83
je,je,51
m',je,51
étais,être,18
trompé,tromper,12
moi-même,moi-même,51
en,en,81
l',le,52
abusant,abuser,13
/.,/.,P
mes,mon,73
confidences,confidence,22
attendries,attendri,31
eurent,avoir,19
pourtant,pourtant,60
quelques,quelque,75
charmes,charme,21
",",",",p
et,et,82
une,un,71
amitié,amitié,22
plus,plus,60
forte,fort,30
dans,dans,81
sa,son,73
douceur,douceur,22
succéda,succéder,19
à,à,81
de,de,81
vaines,vain,30
protestations,protestation,22
de,de,81
tendresse,tendresse,22
/.,/.,P
<Page 7  Partie 1 Chapitre 2>,<>,<>
plus,plus,60
tard,tard,60
",",",",p
je,je,51
la,le,52
rencontrai,rencontrer,19
dans,dans,81
une,un,71
autre,autre,75
ville,ville,22
où,où,60
se,se,51
trouvait,trouver,18
la,le,71
dame,dame,22
que,que,52
j',je,51
aimais,aimer,18
toujours,toujours,60
sans,sans,81
espoir,espoir,21
/.,/.,P
un,un,71
hasard,hasard,21
les,le,52
fit,faire,19
connaître,connaître,14
l',le,71
une,un,52
à,à,81
l',le,71
autre,autre,52
",",",",p
et,et,82
la,le,71
première,premier,72
eut,avoir,19
l',le,71
occasion,occasion,22
",",",",p
sans,sans,81
doute,doute,21
",",",",p
d',de,81
attendrir,attendrir,14
à,à,81
mon,mon,73
égard,égard,21
celle,celui,52
qui,qui,52
m',je,51
avait,avoir,18
exilé,exiler,12
de,de,81
son,son,73
coeur,coeur,21
/.,/.,P
de,de,81
sorte,sorte,22
qu',que,83
un,un,71
jour,jour,21
",",",",p
me,je,51
trouvant,trouver,13
dans,dans,81
une,un,71
société,société,22
dont,dont,52
elle,il,51
faisait,faire,18
partie,partie,22
",",",",p
je,je,51
la,le,52
vis,voir,19
venir,venir,14
à,à,81
moi,moi,51
et,et,82
me,je,51
tendre,tendre,14
la,le,71
main,main,22
/.,/.,P
comment,comment,60
interpréter,interpréter,14
cette,ce,74
démarche,démarche,22
et,et,82
le,le,71
regard,regard,21
profond,profond,30
et,et,82
triste,triste,30
dont,dont,52
elle,il,51
accompagna,accompagner,19
son,son,73
salut,salut,21
/?,/?,P
j',je,51
y,y,52
crus,croire,19
voir,voir,14
le,le,71
pardon,pardon,21
du,de,81
du,le,71
passé,passé,21
;,;,p
l',le,71
accent,accent,21
divin,divin,30
de,de,81
la,le,71
pitié,pitié,22
donnait,donner,18
aux,à,81
aux,le,71
simples,simple,30
paroles,parole,22
qu',que,52
elle,il,51
m',je,51
adressa,adresser,19
une,un,71
valeur,valeur,22
inexprimable,inexprimable,30
",",",",p
comme,comme,83
si,si,83
quelque,quelque,75
chose,chose,22
de,de,81
la,le,71
religion,religion,22
se,se,51
mêlait,mêler,18
aux,à,81
aux,le,71
douceurs,douceur,22
d',de,81
un,un,71
amour,amour,21
jusque,jusque,81
là,là,60
profane,profane,30
",",",",p
et,et,82
lui,lui,51
imprimait,imprimer,18
le,le,71
caractère,caractère,21
de,de,81
l',le,71
éternité,éternité,22
/.,/.,P
un,un,71
devoir,devoir,21
impérieux,impérieux,30
me,je,51
forçait,forcer,18
de,de,81
retourner,retourner,14
à,à,81
Paris,Paris,20
",",",",p
mais,mais,82
je,je,51
pris,prendre,19
la,le,71
résolution,résolution,22
de,de,81
n',ne,60
y,y,52
rester,rester,14
que,que,83
peu,peu,60
de,de,81
jours,jour,21
et,et,82
de,de,81
revenir,revenir,14
près,près,81
de,de,81
mes,mon,73
deux,deux,72
amies,amie,22
/.,/.,P
la,le,71
joie,joie,22
et,et,82
l',le,71
impatience,impatience,22
me,je,51
donnèrent,donner,19
alors,alors,60
une,un,71
sorte,sorte,22
d',de,81
étourdissement,étourdissement,21
qui,qui,52
se,se,51
compliquait,compliquer,18
du,de,81
du,le,71
soin,soin,21
des,de,81
des,le,71
affaires,affaire,22
que,que,52
j',je,51
avais,avoir,18
à,à,81
terminer,terminer,14
/.,/.,P
un,un,71
soir,soir,21
",",",",p
vers,vers,81
minuit,minuit,21
",",",",p
je,je,51
remontais,remonter,18
un,un,71
faubourg,faubourg,21
où,où,60
se,se,51
trouvait,trouver,18
ma,mon,73
demeure,demeure,22
",",",",p
lorsque,lorsque,83
",",",",p
levant,lever,13
les,le,71
yeux,oeil,21
par,par,81
hasard,hasard,21
",",",",p
je,je,51
remarquai,remarquer,19
le,le,71
numéro,numéro,21
d',de,81
une,un,71
maison,maison,22
éclairé,éclairé,31
par,par,81
un,un,71
réverbère,réverbère,21
/.,/.,P
ce,ce,74
nombre,nombre,21
était,être,18
celui,celui,52
de,de,81
mon,mon,73
âge,âge,21
/.,/.,P
aussitôt,aussitôt,60
",",",",p
en,en,81
baissant,baisser,13
les,le,71
yeux,oeil,21
",",",",p
je,je,51
vis,voir,19
devant,devant,81
moi,moi,51
une,un,71
femme,femme,22
au,à,81
au,le,71
teint,teint,21
blême,blême,30
",",",",p
aux,à,81
aux,le,71
yeux,oeil,21
caves,cave,30
",",",",p
qui,qui,52
me,je,51
semblait,sembler,18
avoir,avoir,14
les,le,71
traits,trait,21
d',de,81
Aurélia,Aurélia,20
/.,/.,P
je,je,51
me,je,51
dis,dire,17
:,:,p
c',ce,52
est,être,17
sa,son,73
mort,mort,22
ou,ou,82
la,le,71
mienne,mien,52
qui,qui,52
m',je,51
est,être,17
annoncée,annoncer,12
!,!,p
mais,mais,82
je,je,51
ne,ne,60
sais,savoir,17
pourquoi,pourquoi,60
j',je,51
en,en,52
restais,rester,18
à,à,81
la,le,71
dernière,dernier,30
supposition,supposition,22
",",",",p
et,et,82
je,je,51
me,je,51
frappai,frapper,19
de,de,81
cette,ce,74
idée,idée,22
",",",",p
que,que,83
ce,ce,52
devait,devoir,18
être,être,14
le,le,71
lendemain,lendemain,21
à,à,81
la,le,71
même,même,75
heure,heure,22
/.,/.,P
cette,ce,74
nuit,nuit,22
là,là,60
",",",",p
je,je,51
fis,faire,19
un,un,71
rêve,rêve,21
qui,qui,52
me,je,51
confirma,confirmer,19
dans,dans,81
ma,mon,73
pensée,pensée,22
/.,/.,P
-,-,p
j',je,51
errais,errer,18
dans,dans,81
un,un,71
vaste,vaste,30
édifice,édifice,21
composé,composé,31
de,de,81
plusieurs,plusieurs,75
salles,salle,22
",",",",p
dont,dont,52
les,le,71
unes,un,52
étaient,être,18
consacrées,consacrer,12
à,à,81
l',le,71
étude,étude,22
",",",",p
d',de,81
autres,autre,52
à,à,81
la,le,71
conversation,conversation,22
ou,ou,82
aux,à,81
aux,le,71
discussions,discussion,22
philosophiques,philosophique,30
/.,/.,P
je,je,51
m',je,51
arrêtai,arrêter,19
avec,avec,81
intérêt,intérêt,21
dans,dans,81
une,un,52
des,de,81
des,le,71
premières,premier,72
",",",",p
où,où,60
je,je,51
crus,croire,19
reconnaître,reconnaître,14
mes,mon,73
anciens,ancien,30
maîtres,maître,21
et,et,82
mes,mon,73
anciens,ancien,30
condisciples,condisciple,21
/.,/.,P
les,le,71
leçons,leçon,22
continuaient,continuer,18
sur,sur,81
les,le,71
auteurs,auteur,21
grecs,grec,30
et,et,82
latins,latin,30
",",",",p
avec,avec,81
ce,ce,74
bourdonnement,bourdonnement,21
monotone,monotone,30
qui,qui,52
semble,sembler,17
une,un,71
prière,prière,22
à,à,81
la,le,71
déesse,déesse,22
Mnémosyne,Mnémosyne,20
/.,/.,P
-,-,p
je,je,51
passai,passer,19
dans,dans,81
une,un,71
autre,autre,75
salle,salle,22
",",",",p
où,où,60
avaient,avoir,18
lieu,lieu,21
des,de,81
des,le,71
conférences,conférence,22
philosophiques,philosophique,30
/.,/.,P
j',je,51
y,y,52
pris,prendre,19
part,part,22
quelque,quelque,75
temps,temps,21
",",",",p
puis,puis,60
j',je,51
en,en,52
sortis,sortir,19
pour,pour,81
chercher,chercher,14
ma,mon,73
chambre,chambre,22
dans,dans,81
une,un,71
sorte,sorte,22
d',de,81
hôtellerie,hôtellerie,22
aux,à,81
aux,le,71
escaliers,escalier,21
immenses,immense,30
",",",",p
pleine,plein,30
de,de,81
voyageurs,voyageur,21
affairés,affairé,31
/.,/.,P
je,je,51
me,je,51
perdis,perdre,19
plusieurs,plusieurs,75
fois,fois,22
dans,dans,81
les,le,71
longs,long,30
corridors,corridor,21
",",",",p
et,et,82
en,en,81
traversant,traverser,13
une,un,52
des,de,81
des,le,71
galeries,galerie,22
centrales,central,30
",",",",p
je,je,51
fus,être,19
frappé,frapper,12
d',de,81
un,un,71
spectacle,spectacle,21
étrange,étrange,30
/.,/.,P
un,un,71
être,être,21
d',de,81
une,un,71
grandeur,grandeur,22
démesurée,démesuré,30
",",",",p
homme,homme,21
ou,ou,82
femme,femme,22
",",",",p
je,je,51
ne,ne,60
sais,savoir,17
",",",",p
voltigeait,voltiger,18
péniblement,péniblement,60
au-dessus,au-dessus,60
de,de,81
l',le,71
espace,espace,21
et,et,82
semblait,sembler,18
se,se,51
débattre,débattre,14
parmi,parmi,81
des,de,81
des,le,71
nuages,nuage,21
épais,épais,30
/.,/.,P
manquant,manquer,13
d',de,81
haleine,haleine,22
et,et,82
de,de,81
force,force,22
",",",",p
il,il,51
tomba,tomber,19
enfin,enfin,60
au,à,81
au,le,71
milieu,milieu,21
de,de,81
la,le,71
cour,cour,22
obscure,obscur,30
",",",",p
accrochant,accrocher,13
et,et,82
froissant,froisser,13
ses,son,73
ailes,aile,22
le,le,71
long,long,21
des,de,81
des,le,71
toits,toit,21
et,et,82
des,de,81
des,le,71
balustres,balustre,21
/.,/.,P
je,je,51
pus,pouvoir,19
le,le,52
contempler,contempler,14
un,un,71
instant,instant,21
/.,/.,P
il,il,51
était,être,18
coloré,colorer,12
de,de,81
teintes,teinte,22
vermeilles,vermeil,30
",",",",p
et,et,82
ses,son,73
ailes,aile,22
brillaient,briller,18
de,de,81
mille,mille,72
reflets,reflet,21
changeants,changeant,30
/.,/.,P
vêtu,vêtu,31
d',de,81
une,un,71
robe,robe,22
longue,long,30
à,à,81
plis,pli,21
antiques,antique,30
",",",",p
il,il,51
ressemblait,ressembler,18
à,à,81
l',le,71
ange,ange,21
de,de,81
la,le,71
mélancolie,mélancolie,22
",",",",p
d',de,81
Albrecht,Albrecht,20
Dürer,Dürer,20
/.,/.,P
-,-,p
je,je,51
ne,ne,60
pus,pouvoir,19
m',je,51
empêcher,empêcher,14
de,de,81
pousser,pousser,14
des,de,81
des,le,71
cris,cri,21
d',de,81
effroi,effroi,21
",",",",p
qui,qui,52
me,je,51
réveillèrent,réveiller,19
en,en,81
sursaut,sursaut,21
/.,/.,P
le,le,71
jour,jour,21
suivant,suivant,30
",",",",p
je,je,51
me,je,51
hâtai,hâter,19
d',de,81
aller,aller,14
voir,voir,14
tous,tout,75
mes,mon,73
amis,ami,21
/.,/.,P
je,je,51
leur,leur,52
faisais,faire,18
mentalement,mentalement,60
mes,mon,73
adieux,adieu,21
",",",",p
et,et,82
",",",",p
sans,sans,81
leur,leur,73
rien,rien,52
dire,dire,14
de,de,81
ce,ce,52
qui,qui,52
m',je,51
occupait,occuper,18
l',le,71
esprit,esprit,21
",",",",p
je,je,51
dissertais,disserter,18
chaleureusement,chaleureusement,60
sur,sur,81
des,de,81
des,le,71
sujets,sujet,21
mystiques,mystique,30
;,;,p
je,je,51
les,le,52
étonnais,étonner,18
par,par,81
une,un,71
éloquence,éloquence,22
particulière,particulier,30
",",",",p
il,il,51
me,je,51
semblait,sembler,18
que,que,83
je,je,51
savais,savoir,18
tout,tout,52
",",",",p
et,et,82
que,que,83
les,le,71
mystères,mystère,21
du,de,81
du,le,71
monde,monde,21
se,se,51
révélaient,révéler,18
à,à,81
moi,moi,51
dans,dans,81
ces,ce,74
heures,heure,22
suprêmes,suprême,30
/.,/.,P
le,le,71
soir,soir,21
",",",",p
lorsque,lorsque,83
l',le,71
heure,heure,22
fatale,fatal,30
semblait,sembler,18
s',se,51
approcher,approcher,14
",",",",p
je,je,51
dissertais,disserter,18
avec,avec,81
deux,deux,72
amis,ami,21
",",",",p
à,à,81
la,le,71
table,table,22
d',de,81
un,un,71
cercle,cercle,21
",",",",p
sur,sur,81
la,le,71
peinture,peinture,22
et,et,82
sur,sur,81
la,le,71
musique,musique,22
",",",",p
définissant,définir,13
à,à,81
mon,mon,73
point,point,21
de,de,81
vue,vue,22
la,le,71
génération,génération,22
des,de,81
des,le,71
couleurs,couleur,22
et,et,82
le,le,71
sens,sens,21
des,de,81
des,le,71
nombres,nombre,21
/.,/.,P
l',le,71
un,un,52
d',de,81
eux,ils,51
",",",",p
nommé,nommé,31
Paul,Paul,20
",",",",p
voulut,vouloir,19
me,je,51
conduire,conduire,14
chez,chez,81
moi,moi,51
",",",",p
mais,mais,82
je,je,51
lui,lui,51
dis,dire,19
que,que,83
je,je,51
ne,ne,60
rentrais,rentrer,18
pas,pas,60
/.,/.,P
“,“,p
où,où,60
vas,aller,17
tu,tu,51
?,?,p
me,je,51
dit,dire,19
il,il,51
/.,/.,P
vers,vers,81
l',le,71
Orient,Orient,20
/!,/!,P
et,et,82
pendant,pendant,81
qu',que,83
il,il,51
m',je,51
accompagnait,accompagner,18
",",",",p
je,je,51
me,je,51
mis,mettre,19
à,à,81
chercher,chercher,14
dans,dans,81
le,le,71
ciel,ciel,21
une,un,71
étoile,étoile,22
",",",",p
que,que,52
je,je,51
croyais,croire,18
connaître,connaître,14
",",",",p
comme,comme,83
si,si,83
elle,il,51
avait,avoir,18
quelque,quelque,75
influence,influence,22
sur,sur,81
ma,mon,73
destinée,destinée,22
/.,/.,P
l',le,52
ayant,avoir,13
trouvée,trouver,12
",",",",p
je,je,51
continuai,continuer,19
ma,mon,73
marche,marche,22
en,en,81
suivant,suivre,13
les,le,71
rues,rue,22
dans,dans,81
la,le,71
direction,direction,22
desquelles,de,81
desquelles,lequel,52
elle,il,51
était,être,18
visible,visible,30
",",",",p
