11635
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Huitième extrait>,<>,<>
couleur,couleur,22
féroce,féroce,30
",",",",p
d',de,81
une,un,71
énergie,énergie,22
détraquée,détraqué,31
",",",",p
un,un,71
tableau,tableau,21
de,de,81
la,le,71
seconde,second,72
manière,manière,22
de,de,81
ce,ce,74
peintre,peintre,21
",",",",p
alors,alors,60
qu',que,83
il,il,51
était,être,18
harcelé,harceler,12
par,par,81
la,le,71
préoccupation,préoccupation,22
de,de,81
ne,ne,60
plus,plus,60
ressembler,ressembler,14
au,à,81
au,le,71
Titien,Titien,20
/.,/.,P
cette,ce,74
peinture,peinture,22
sinistre,sinistre,30
",",",",p
aux,à,81
aux,le,71
tons,ton,21
de,de,81
cirage,cirage,21
et,et,82
de,de,81
vert,vert,21
cadavre,cadavre,21
",",",",p
répondait,répondre,18
pour,pour,81
des,de,81
des,le,71
Esseintes,Esseintes,20
à,à,81
un,un,71
certain,certain,75
ordre,ordre,21
d',de,81
idées,idée,22
sur,sur,81
l',le,71
ameublement,ameublement,21
/.,/.,P
il,il,51
n',ne,60
y,y,52
avait,avoir,18
",",",",p
selon,selon,81
lui,lui,51
",",",",p
que,que,83
deux,deux,72
manières,manière,22
d',de,81
organiser,organiser,14
une,un,71
chambre,chambre,22
à,à,81
coucher,coucher,14
:,:,p
ou,ou,82
bien,bien,60
en,en,52
faire,faire,14
une,un,71
excitante,excitant,30
alcôve,alcôve,22
",",",",p
un,un,71
lieu,lieu,21
de,de,81
délectation,délectation,22
nocturne,nocturne,30
;,;,p
ou,ou,82
bien,bien,60
agencer,agencer,14
un,un,71
lieu,lieu,21
de,de,81
solitude,solitude,22
et,et,82
de,de,81
repos,repos,21
",",",",p
un,un,71
retrait,retrait,21
de,de,81
pensées,pensée,22
",",",",p
une,un,71
espèce,espèce,22
d',de,81
oratoire,oratoire,21
/.,/.,P
dans,dans,81
le,le,71
premier,premier,72
cas,cas,21
",",",",p
le,le,71
style,style,21
Louis XV,Louis XV,20
s',se,51
imposait,imposer,18
aux,à,81
aux,le,71
délicats,délicat,30
",",",",p
aux,à,81
aux,le,71
gens,gens,21
épuisés,épuisé,31
surtout,surtout,60
par,par,81
des,de,81
des,le,71
éréthismes,éréthisme,21
de,de,81
cervelle,cervelle,22
;,;,p
seul,seul,30
",",",",p
en,en,81
effet,effet,21
",",",",p
le,le,71
XVIIIe,dix-huitième,72
siècle,siècle,21
a,avoir,17
su,savoir,12
envelopper,envelopper,14
la,le,71
femme,femme,22
d',de,81
une,un,71
atmosphère,atmosphère,22
vicieuse,vicieux,30
",",",",p
contournant,contourner,13
les,le,71
meubles,meuble,21
selon,selon,81
la,le,71
forme,forme,22
de,de,81
ses,son,73
charmes,charme,21
",",",",p
imitant,imiter,13
les,le,71
contractions,contraction,22
de,de,81
ses,son,73
plaisirs,plaisir,21
",",",",p
les,le,71
volutes,volute,22
de,de,81
ses,son,73
spasmes,spasme,21
",",",",p
avec,avec,81
les,le,71
ondulations,ondulation,22
",",",",p
les,le,71
tortillements,tortillement,21
du,de,81
du,le,71
bois,bois,21
et,et,82
du,de,81
du,le,71
cuivre,cuivre,21
",",",",p
épiçant,épicer,13
la,le,71
langueur,langueur,22
sucrée,sucré,31
de,de,81
la,le,71
blonde,blonde,22
",",",",p
par,par,81
son,son,73
décor,décor,21
vif,vif,30
et,et,82
clair,clair,30
",",",",p
atténuant,atténuer,13
le,le,71
goût,goût,21
salé,salé,31
de,de,81
la,le,71
brune,brune,22
",",",",p
par,par,81
des,de,81
des,le,71
tapisseries,tapisserie,22
aux,à,81
aux,le,71
tons,ton,21
douceâtres,douceâtre,30
",",",",p
aqueux,aqueux,30
",",",",p
presque,presque,60
insapides,insapide,30
/.,/.,P
cette,ce,74
chambre,chambre,22
",",",",p
il,il,51
l',le,52
avait,avoir,18
jadis,jadis,60
comprise,comprendre,12
dans,dans,81
son,son,73
logement,logement,21
de,de,81
Paris,Paris,20
",",",",p
avec,avec,81
le,le,71
grand,grand,30
lit,lit,21
blanc,blanc,30
laqué,laqué,31
qui,qui,52
est,être,17
un,un,71
piment,piment,21
de,de,81
plus,plus,60
",",",",p
une,un,71
dépravation,dépravation,22
de,de,81
vieux,vieux,21
passionné,passionné,31
",",",",p
hennissant,hennir,13
devant,devant,81
la,le,71
fausse,faux,30
chasteté,chasteté,22
",",",",p
devant,devant,81
l',le,71
hypocrite,hypocrite,30
pudeur,pudeur,22
des,de,81
des,le,71
tendrons,tendron,21
de,de,81
Greuze,Greuze,20
",",",",p
devant,devant,81
l',le,71
artificielle,artificiel,30
candeur,candeur,22
d',de,81
un,un,71
lit,lit,21
polisson,polisson,30
",",",",p
sentant,sentir,13
l',le,71
enfant,enfant,21
et,et,82
la,le,71
jeune,jeune,30
fille,fille,22
/.,/.,P
dans,dans,81
l',le,71
autre,autre,75
cas,cas,21
-,-,p
et,et,82
",",",",p
maintenant,maintenant,60
qu',que,83
il,il,51
voulait,vouloir,18
rompre,rompre,14
avec,avec,81
les,le,71
irritants,irritant,30
souvenirs,souvenir,21
de,de,81
sa,son,73
vie,vie,22
passée,passé,31
",",",",p
celui-là,celui-là,52
était,être,18
seul,seul,30
possible,possible,30
-,-,p
il,il,51
fallait,falloir,18
façonner,façonner,14
une,un,71
chambre,chambre,22
en,en,81
cellule,cellule,22
monastique,monastique,30
;,;,p
mais,mais,82
alors,alors,60
les,le,71
difficultés,difficulté,22
s',se,51
accumulaient,accumuler,18
",",",",p
car,car,82
il,il,51
se,se,51
refusait,refuser,18
à,à,81
accepter,accepter,14
",",",",p
pour,pour,81
sa,son,73
part,part,22
",",",",p
l',le,71
austère,austère,30
laideur,laideur,22
des,de,81
des,le,71
asiles,asile,21
à,à,81
pénitence,pénitence,22
et,et,82
à,à,81
prière,prière,22
/.,/.,P
à,à,81
force,force,22
de,de,81
tourner,tourner,14
et,et,82
de,de,81
retourner,retourner,14
la,le,71
question,question,22
sur,sur,81
toutes,tout,75
ses,son,73
faces,face,22
",",",",p
il,il,51
conclut,conclure,19
que,que,83
le,le,71
but,but,21
à,à,81
atteindre,atteindre,14
pouvait,pouvoir,18
se,se,51
résumer,résumer,14
en,en,81
celui-ci,celui-ci,52
:,:,p
arranger,arranger,14
avec,avec,81
de,de,81
joyeux,joyeux,30
objets,objet,21
une,un,71
chose,chose,22
triste,triste,30
",",",",p
ou,ou,82
plutôt,plutôt,60
tout,tout,60
en,en,81
lui,lui,51
conservant,conserver,13
son,son,73
caractère,caractère,21
de,de,81
laideur,laideur,22
",",",",p
imprimer,imprimer,14
à,à,81
l',le,71
ensemble,ensemble,21
de,de,81
la,le,71
pièce,pièce,22
",",",",p
ainsi,ainsi,60
traitée,traité,31
",",",",p
une,un,71
sorte,sorte,22
d',de,81
élégance,élégance,22
et,et,82
de,de,81
distinction,distinction,22
;,;,p
renverser,renverser,14
l',le,71
optique,optique,22
du,de,81
du,le,71
théâtre,théâtre,21
dont,dont,52
les,le,71
vils,vil,30
oripeaux,oripeau,21
jouent,jouer,17
les,le,71
tissus,tissu,21
luxueux,luxueux,30
et,et,82
chers,cher,30
;,;,p
obtenir,obtenir,14
l',le,71
effet,effet,21
absolument,absolument,60
opposé,opposé,31
",",",",p
en,en,81
se,se,51
servant,servir,13
d',de,81
étoffes,étoffe,22
magnifiques,magnifique,30
pour,pour,81
donner,donner,14
l',le,71
impression,impression,22
d',de,81
une,un,71
guenille,guenille,22
;,;,p
disposer,disposer,14
",",",",p
en,en,81
un,un,71
mot,mot,21
",",",",p
une,un,71
loge,loge,22
de,de,81
chartreux,chartreux,21
qui,qui,52
eût,avoir,19
l',le,71
air,air,21
d',de,81
être,être,14
vraie,vrai,30
et,et,82
qui,qui,52
ne,ne,60
le,le,52
fût,être,19
",",",",p
bien,bien,60
entendu,entendu,31
",",",",p
pas,pas,60
/.,/.,P
il,il,51
procéda,procéder,19
de,de,81
cette,ce,74
manière,manière,22
:,:,p
pour,pour,81
imiter,imiter,14
le,le,71
badigeon,badigeon,21
de,de,81
l',le,71
ocre,ocre,21
",",",",p
le,le,71
jaune,jaune,30
administratif,administratif,30
et,et,82
clérical,clérical,30
",",",",p
il,il,51
fit,faire,19
tendre,tendre,30
ses,son,73
murs,mur,21
en,en,81
soie,soie,22
safran,safran,21
;,;,p
pour,pour,81
traduire,traduire,14
le,le,71
soubassement,soubassement,21
couleur,couleur,22
chocolat,chocolat,21
",",",",p
habituel,habituel,30
à,à,81
ce,ce,74
genre,genre,21
de,de,81
pièces,pièce,22
",",",",p
il,il,51
revêtit,revêtir,19
les,le,71
parois,paroi,22
de,de,81
la,le,71
cloison,cloison,22
de,de,81
lames,lame,22
en,en,81
bois,bois,21
violet,violet,30
foncé,foncé,31
d',de,81
amarante,amarante,22
/.,/.,P
l',le,71
effet,effet,21
était,être,18
séduisant,séduisant,30
",",",",p
et,et,82
il,il,51
pouvait,pouvoir,18
rappeler,rappeler,14
",",",",p
de,de,81
loin,loin,60
pourtant,pourtant,60
",",",",p
la,le,71
déplaisante,déplaisant,30
rigidité,rigidité,22
du,de,81
du,le,71
modèle,modèle,21
qu',que,52
il,il,51
suivait,suivre,18
en,en,81
le,le,52
transformant,transformer,13
;,;,p
le,le,71
plafond,plafond,21
fut,être,19
",",",",p
à,à,81
son,son,73
tour,tour,21
",",",",p
tapissé,tapisser,12
de,de,81
blanc,blanc,21
écru,écru,30
",",",",p
pouvant,pouvoir,13
simuler,simuler,14
le,le,71
plâtre,plâtre,21
",",",",p
sans,sans,81
en,en,52
avoir,avoir,14
cependant,cependant,82
les,le,71
éclats,éclat,21
criards,criard,30
;,;,p
quant,quand,83
au,à,81
au,le,71
froid,froid,30
pavage,pavage,21
de,de,81
la,le,71
cellule,cellule,22
",",",",p
il,il,51
réussit,réussir,19
assez,assez,60
bien,bien,60
à,à,81
le,le,52
copier,copier,14
",",",",p
grâce,grâce,22
à,à,81
un,un,71
tapis,tapis,21
dont,dont,52
le,le,71
dessin,dessin,21
représentait,représenter,18
des,de,81
des,le,71
carreaux,carreau,21
rouges,rouge,30
",",",",p
avec,avec,81
des,de,81
des,le,71
places,place,22
blanchâtres,blanchâtre,30
dans,dans,81
la,le,71
laine,laine,22
",",",",p
pour,pour,81
feindre,feindre,14
l',le,71
usure,usure,22
des,de,81
des,le,71
sandales,sandale,22
et,et,82
le,le,71
frottement,frottement,21
des,de,81
des,le,71
bottes,botte,22
/.,/.,P
il,il,51
meubla,meubler,19
cette,ce,74
pièce,pièce,22
d',de,81
un,un,71
petit,petit,30
lit,lit,21
de,de,81
fer,fer,21
",",",",p
un,un,71
faux,faux,30
lit,lit,21
de,de,81
cénobite,cénobite,21
",",",",p
fabriqué,fabriqué,31
avec,avec,81
d',de,81
anciennes,ancien,30
ferronneries,ferronnerie,22
forgées,forgé,31
et,et,82
polies,poli,31
",",",",p
rehaussées,rehaussé,31
",",",",p
au,à,81
au,le,71
chevet,chevet,21
et,et,82
au,à,81
au,le,71
pied,pied,21
",",",",p
d',de,81
ornementations,ornementation,22
touffues,touffu,30
",",",",p
de,de,81
tulipes,tulipe,22
épanouies,épanoui,31
enlacées,enlacé,31
à,à,81
des,de,81
des,le,71
pampres,pampre,21
",",",",p
empruntées,emprunté,31
à,à,81
la,le,71
rampe,rampe,22
du,de,81
du,le,71
superbe,superbe,30
escalier,escalier,21
d',de,81
un,un,71
vieil,vieux,30
hôtel,hôtel,21
/.,/.,P
en,en,81
guise,guise,22
de,de,81
table,table,22
de,de,81
nuit,nuit,22
",",",",p
il,il,51
installa,installer,19
un,un,71
antique,antique,30
prie-Dieu,prie-Dieu,21
dont,dont,52
l',le,71
intérieur,intérieur,21
pouvait,pouvoir,18
contenir,contenir,14
un,un,71
vase,vase,21
et,et,82
dont,dont,52
l',le,71
extérieur,extérieur,21
supportait,supporter,18
un,un,71
eucologe,eucologe,21
;,;,p
il,il,51
apposa,apposer,19
contre,contre,81
le,le,71
mur,mur,21
",",",",p
en,en,81
face,face,22
",",",",p
un,un,71
banc,banc,21
d',de,81
oeuvre,oeuvre,22
",",",",p
surmonté,surmonté,31
d',de,81
un,un,71
grand,grand,30
dais,dais,21
à,à,81
jour,jour,21
garni,garni,31
de,de,81
miséricordes,miséricorde,22
sculptées,sculpté,31
en,en,81
plein,plein,30
bois,bois,21
",",",",p
et,et,82
il,il,51
pourvut,pourvoir,19
ses,son,73
flambeaux,flambeau,21
d',de,81
église,église,22
de,de,81
chandelles,chandelle,22
en,en,81
vraie,vrai,30
cire,cire,22
qu',que,52
il,il,51
achetait,acheter,18
dans,dans,81
une,un,71
maison,maison,22
spéciale,spécial,30
",",",",p
réservée,réservé,31
aux,à,81
aux,le,71
besoins,besoin,21
du,de,81
du,le,71
culte,culte,21
",",",",p
car,car,82
il,il,51
professait,professer,18
un,un,71
sincère,sincère,30
éloignement,éloignement,21
pour,pour,81
les,le,71
pétroles,pétrole,21
",",",",p
pour,pour,81
les,le,71
schistes,schiste,21
",",",",p
pour,pour,81
les,le,71
gaz,gaz,21
",",",",p
pour,pour,81
les,le,71
bougies,bougie,22
en,en,81
stéarine,stéarine,22
",",",",p
pour,pour,81
tout,tout,75
l',le,71
éclairage,éclairage,21
moderne,moderne,30
",",",",p
si,si,60
voyant,voyant,30
et,et,82
si,si,60
brutal,brutal,30
/.,/.,P
dans,dans,81
son,son,73
lit,lit,21
",",",",p
le,le,71
matin,matin,21
",",",",p
la,le,71
tête,tête,22
sur,sur,81
l',le,71
oreiller,oreiller,21
",",",",p
avant,avant,81
de,de,81
s',se,51
endormir,endormir,14
",",",",p
il,il,51
regardait,regarder,18
son,son,73
Théocopuli,Théocopuli,20
dont,dont,52
l',le,71
atroce,atroce,30
couleur,couleur,22
rabrouait,rabrouer,18
un,un,71
peu,peu,60
le,le,71
sourire,sourire,21
de,de,81
l',le,71
étoffe,étoffe,22
jaune,jaune,30
et,et,82
la,le,52
rappelait,rappeler,18
à,à,81
un,un,71
ton,ton,21
plus,plus,60
grave,grave,30
",",",",p
et,et,82
il,il,51
se,se,51
figurait,figurer,18
aisément,aisément,60
alors,alors,60
qu',que,83
il,il,51
vivait,vivre,18
à,à,81
cent,cent,72
lieues,lieue,22
de,de,81
Paris,Paris,20
",",",",p
loin,loin,60
du,de,81
du,le,71
monde,monde,21
",",",",p
dans,dans,81
le,le,71
fin,fin,30
fond,fond,21
d',de,81
un,un,71
cloître,cloître,21
/.,/.,P
et,et,82
",",",",p
somme,somme,22
toute,tout,75
",",",",p
l',le,71
illusion,illusion,22
était,être,18
facile,facile,30
",",",",p
puisqu',puisque,83
il,il,51
menait,mener,18
une,un,71
existence,existence,22
presque,presque,60
analogue,analogue,30
à,à,81
celle,celui,52
d',de,81
un,un,71
religieux,religieux,21
/.,/.,P
il,il,51
avait,avoir,18
ainsi,ainsi,60
les,le,71
avantages,avantage,21
de,de,81
la,le,71
claustration,claustration,22
et,et,82
il,il,51
en,en,52
évitait,éviter,18
les,le,71
inconvénients,inconvénient,21
:,:,p
la,le,71
discipline,discipline,22
soldatesque,soldatesque,22
",",",",p
le,le,71
manque,manque,21
de,de,81
soins,soin,21
",",",",p
la,le,71
crasse,crasse,22
",",",",p
la,le,71
promiscuité,promiscuité,22
",",",",p
le,le,71
désoeuvrement,désoeuvrement,21
monotone,monotone,30
/.,/.,P
de,de,81
même,même,60
qu',que,83
il,il,51
avait,avoir,18
fait,faire,12
de,de,81
sa,son,73
cellule,cellule,22
une,un,71
chambre,chambre,22
confortable,confortable,30
et,et,82
tiède,tiède,30
",",",",p
de,de,81
même,même,60
il,il,51
avait,avoir,18
rendu,rendre,12
sa,son,73
vie,vie,22
normale,normal,30
",",",",p
douce,doux,30
",",",",p
entourée,entouré,31
de,de,81
bien-être,bien-être,21
",",",",p
occupée,occupé,31
et,et,82
libre,libre,30
/.,/.,P
tel,tel,75
qu',que,83
un,un,71
ermite,ermite,21
",",",",p
il,il,51
était,être,18
mûr,mûr,30
pour,pour,81
l',le,71
isolement,isolement,21
",",",",p
harassé,harasser,12
de,de,81
la,le,71
vie,vie,22
",",",",p
n',ne,60
attendant,attendre,13
plus,plus,60
rien,rien,52
d',de,81
elle,il,51
;,;,p
tel,tel,75
qu',que,83
un,un,71
moine,moine,21
aussi,aussi,60
",",",",p
il,il,51
était,être,18
accablé,accabler,12
d',de,81
une,un,71
lassitude,lassitude,22
immense,immense,30
",",",",p
d',de,81
un,un,71
besoin,besoin,21
de,de,81
recueillement,recueillement,21
",",",",p
d',de,81
un,un,71
désir,désir,21
de,de,81
ne,ne,60
plus,plus,60
avoir,avoir,14
rien,rien,52
de,de,81
commun,commun,30
avec,avec,81
les,le,71
profanes,profane,21
qui,qui,52
étaient,être,18
",",",",p
pour,pour,81
lui,lui,51
",",",",p
les,le,71
utilitaires,utilitaire,21
et,et,82
les,le,71
imbéciles,imbécile,21
/.,/.,P
en,en,81
résumé,résumé,21
",",",",p
bien,bien,60
qu',que,83
il,il,51
n',ne,60
éprouvât,éprouver,18
aucune,aucun,75
vocation,vocation,22
pour,pour,81
l',le,71
état,état,21
de,de,81
grâce,grâce,22
",",",",p
il,il,51
se,se,51
sentait,sentir,18
une,un,71
réelle,réel,30
sympathie,sympathie,22
pour,pour,81
ces,ce,74
gens,gens,21
enfermés,enfermé,31
dans,dans,81
des,de,81
des,le,71
monastères,monastère,21
",",",",p
persécutés,persécuté,31
par,par,81
une,un,71
haineuse,haineux,30
société,société,22
qui,qui,52
ne,ne,60
leur,leur,52
pardonne,pardonner,17
ni,ni,82
le,le,71
juste,juste,30
mépris,mépris,21
qu',que,52
ils,ils,51
ont,avoir,17
pour,pour,81
elle,il,51
ni,ni,82
la,le,71
volonté,volonté,22
qu',que,52
ils,ils,51
affirment,affirmer,17
de,de,81
racheter,racheter,14
",",",",p
d',de,81
expier,expier,14
",",",",p
par,par,81
un,un,71
long,long,30
silence,silence,21
",",",",p
le,le,71
dévergondage,dévergondage,21
toujours,toujours,60
croissant,croissant,30
de,de,81
ses,son,73
conversations,conversation,22
saugrenues,saugrenu,30
ou,ou,82
niaises,niais,30
/.,/.,P
enfoncé,enfoncé,31
dans,dans,81
un,un,71
vaste,vaste,30
fauteuil,fauteuil,21
à,à,81
oreillettes,oreillette,22
",",",",p
les,le,71
pieds,pied,21
sur,sur,81
les,le,71
poires,poire,22
en,en,81
vermeil,vermeil,21
des,de,81
des,le,71
chenets,chenet,21
",",",",p
les,le,71
pantoufles,pantoufle,22
rôties,rôti,31
par,par,81
les,le,71
bûches,bûche,22
qui,qui,52
dardaient,darder,18
",",",",p
en,en,81
crépitant,crépiter,13
",",",",p
comme,comme,83
cinglées,cinglé,22
par,par,81
le,le,71
souffle,souffle,21
furieux,furieux,30
d',de,81
un,un,71
chalumeau,chalumeau,21
",",",",p
de,de,81
vives,vif,30
flammes,flamme,22
",",",",p
des,de,81
des,le,71
Esseintes,Esseintes,20
posa,poser,19
le,le,71
vieil,vieux,30
in-quarto,in-quarto,21
qu',que,52
il,il,51
lisait,lire,18
",",",",p
sur,sur,81
une,un,71
table,table,22
",",",",p
s',se,51
étira,étirer,19
",",",",p
alluma,allumer,19
une,un,71
cigarette,cigarette,22
",",",",p
puis,puis,60
il,il,51
se,se,51
prit,prendre,19
à,à,81
rêver,rêver,14
délicieusement,délicieusement,60
",",",",p
lancé,lancé,31
à,à,81
toutes,tout,75
brides,bride,22
sur,sur,81
une,un,71
piste,piste,22
de,de,81
souvenirs,souvenir,21
effacée,effacé,31
depuis,depuis,81
des,de,81
des,le,71
mois,mois,21
et,et,82
subitement,subitement,60
retracée,retracé,31
par,par,81
le,le,71
rappel,rappel,21
d',de,81
un,un,71
nom,nom,21
qui,qui,52
s',se,51
éveillait,éveiller,18
",",",",p
sans,sans,81
motifs,motif,21
du,de,81
du,le,71
reste,reste,21
",",",",p
dans,dans,81
sa,son,73
mémoire,mémoire,22
/.,/.,P
il,il,51
revoyait,revoir,18
",",",",p
avec,avec,81
une,un,71
surprenante,surprenant,30
lucidité,lucidité,22
",",",",p
la,le,71
gêne,gêne,22
de,de,81
son,son,73
camarade,camarade,21
d',de,81
Aigurande,Aigurande,20
",",",",p
lorsque,lorsque,83
",",",",p
dans,dans,81
une,un,71
réunion,réunion,22
de,de,81
persévérants,persévérant,30
célibataires,célibataire,21
",",",",p
il,il,51
avait,avoir,18
dû,devoir,12
avouer,avouer,14
les,le,71
derniers,dernier,30
apprêts,apprêt,21
d',de,81
un,un,71
mariage,mariage,21
/.,/.,P
on,on,51
se,se,51
récria,récrier,19
",",",",p
on,on,51
lui,lui,51
peignit,peindre,19
les,le,71
abominations,abomination,22
des,de,81
des,le,71
sommeils,sommeil,21
dans,dans,81
le,le,71
même,même,75
linge,linge,21
;,;,p
rien,rien,52
n',ne,60
y,y,52
fit,faire,19
:,:,p
la,le,71
tête,tête,22
perdue,perdu,31
",",",",p
il,il,51
croyait,croire,18
à,à,81
l',le,71
intelligence,intelligence,22
de,de,81
sa,son,73
future,futur,30
femme,femme,22
et,et,82
prétendait,prétendre,18
avoir,avoir,14
discerné,discerner,12
chez,chez,81
elle,il,51
d',de,81
exceptionnelles,exceptionnel,30
qualités,qualité,22
de,de,81
dévouement,dévouement,21
et,et,82
de,de,81
tendresse,tendresse,22
/.,/.,P
seul,seul,30
",",",",p
parmi,parmi,81
ces,ce,74
jeunes,jeune,30
gens,gens,21
",",",",p
des,de,81
des,le,71
Esseintes,Esseintes,20
encouragea,encourager,19
ses,son,73
résolutions,résolution,22
dès,dès,81
qu',que,83
il,il,51
eut,avoir,19
appris,apprendre,12
que,que,83
sa,son,73
fiancée,fiancée,22
désirait,désirer,18
loger,loger,14
au,à,81
au,le,71
coin,coin,21
d',de,81
un,un,71
nouveau,nouveau,30
boulevard,boulevard,21
",",",",p
dans,dans,81
l',le,71
un,un,52
de,de,81
ces,ce,74
modernes,moderne,30
appartements,appartement,21
tournés,tourné,31
en,en,81
rotonde,rotonde,22
/.,/.,P
convaincu,convaincu,31
de,de,81
l',le,71
impitoyable,impitoyable,30
puissance,puissance,22
des,de,81
des,le,71
petites,petit,30
misères,misère,22
",",",",p
plus,plus,60
désastreuses,désastreux,30
pour,pour,81
les,le,71
tempéraments,tempérament,21
bien,bien,60
trempés,trempé,31
que,que,83
les,le,71
grandes,grand,30
et,et,82
",",",",p
se,se,51
basant,baser,13
sur,sur,81
ce,ce,74
fait,fait,21
que,que,52
d',de,81
Aigurande,Aigurande,20
ne,ne,60
possédait,posséder,18
aucune,aucun,75
fortune,fortune,22
et,et,82
que,que,83
la,le,71
dot,dot,22
de,de,81
sa,son,73
femme,femme,22
était,être,18
à,à,81
peu,peu,60
près,près,81
nulle,nul,30
",",",",p
il,il,51
aperçut,apercevoir,19
",",",",p
dans,dans,81
ce,ce,74
simple,simple,30
souhait,souhait,21
",",",",p
une,un,71
perspective,perspective,22
infinie,infini,30
de,de,81
ridicules,ridicule,30
maux,mal,21
/.,/.,P
en,en,81
